Iteration,Firefly,C,Epsilon,Gamma,Error,Moved_Towards
1,1,21.975972441880717,0.001,0.31049568923827064,0.7686499117217789,1
1,1,21.927271941598107,0.008017721250082942,0.3133884772562486,0.25341429340534044,2
1,1,21.934315973282803,0.022665376811718395,0.33350156086459276,0.482489179880708,3
1,1,21.966080149985647,0.001,0.3359762403604779,0.7679898795603776,4
1,1,21.92402388763556,0.025135059332174893,0.315283615084458,0.47625973649410736,7
1,1,21.900959353945524,0.005902860584751524,0.33608497201724036,0.268553343914341,8
1,1,21.874885226651912,0.001,0.30658088088382096,0.768817680578236,9
1,2,55.51243520502504,0.08754835940307173,0.2242163227132699,0.07566490496064564,3
1,2,55.55104532634053,0.1,0.24264425739932932,0.15817349373321918,4
1,3,94.20926522064046,0.06323607724769602,1.0,0.24142700453155252,1
1,3,94.23030137661357,0.07062965956970031,1.0,0.05572791924874358,3
1,3,94.18147746529942,0.03166811103000651,1.0,0.2601179205276602,4
1,4,97.77080054141577,0.029910134037155568,0.6953959902885805,0.2806418340395214,2
1,4,97.80468054085823,0.001,0.6660429319961294,0.39998387679567454,4
1,6,47.43375317434577,0.001,0.13146083401259365,0.7668360458468264,0
1,6,47.44341988064448,0.001,0.1635508319732038,0.7638678117052699,1
1,6,47.40874479132034,0.001,0.12338123008964277,0.7676311391204852,2
1,6,47.44840730377394,0.029208239327934284,0.14940707272124404,0.1532337895211473,3
1,6,47.43410224718677,0.04717832322615561,0.14054889374962326,0.1671057193409306,4
1,6,47.43995887171986,0.08533202616031185,0.17728785957241358,0.06537345023595843,8
1,7,13.045977555939135,0.008752993595093326,0.12358728305985944,0.6242725166781878,0
1,7,13.053629624383424,0.04182228574410275,0.15569749773953923,0.1633611375351043,1
1,7,13.045962247902175,0.013347238206821467,0.1411882215578862,0.5232135561461579,2
1,7,13.008803054860287,0.0027974460756985623,0.18126582206438804,0.7467661163489764,3
1,7,12.989191111695659,0.016261745512801865,0.1380095674245924,0.4610861845784847,4
1,7,12.983932533358749,0.005313182863159984,0.16435463036482212,0.07770385964616762,5
1,8,2.232715767565957,0.02050688977711968,0.25905143609011705,0.6909015380311799,1
1,8,2.2565389417607014,0.03352783744542837,0.2570688496230299,0.25905301392592933,2
1,8,2.207173787516516,0.018709349259529648,0.22600698185541324,0.7004076115300764,3
1,8,2.2026709988719055,0.05095083765254566,0.2447651989386748,0.20919217600585752,4
1,8,2.2232249025688433,0.04116917513072245,0.26678766280428423,0.24881386001734038,5
1,8,2.204528260805639,0.001,0.3162653267599995,0.7806406948217613,6
1,8,2.1911016832522447,0.001,0.3204715951792877,0.7806378192093347,8
1,8,2.203350246276927,0.008475573747732657,0.31159402957028154,0.7377806135622522,9
1,9,43.38701553536189,0.06735490635205477,0.7469312653082683,0.2461833589928115,1
1,9,43.392865347248836,0.05664368106565408,0.7154698686213566,0.6036731768007746,2
1,9,43.406409184269954,0.07776598785915603,0.6887279815775017,0.07002643673786493,3
1,9,43.3581244370174,0.08530950513577797,0.7041382764480175,0.10238397899666807,4
1,9,43.32364766978976,0.0564731337200238,0.7025264900186787,0.38864564975426175,5
1,10,37.526277606720505,0.0819820288731975,0.3865505463707505,0.06378616058306018,1
1,10,37.550795515375164,0.1,0.40549080454305864,0.16095186172912188,2
1,10,37.54272348673578,0.1,0.45260645041644193,0.16139509852981132,4
2,1,21.92318957586501,0.04702047797924273,0.29123134199909606,0.17297451506076575,1
2,1,21.928323715442218,0.013348435947795237,0.3129292470133434,0.26966096974936477,2
2,1,21.933337277282813,0.06275036018420607,0.300751752235882,0.7626802845221724,3
2,1,21.956917776652787,0.0707535972864441,0.326655114873295,0.07611538451625803,4
2,1,21.93660967707003,0.1,0.29858200442138444,0.15935138439331858,5
2,1,21.88768662301228,0.09848634262939165,0.29830684288597836,0.157087323889585,8
2,1,21.893310377498327,0.1,0.2621695815354442,0.15867014096294024,9
2,2,55.52141196662033,0.1,0.23444944853834537,0.1580172366864721,2
2,2,55.49982440567477,0.08842395258639785,0.2839906200149935,0.10485068941271532,3
2,2,55.531630289983845,0.09958857675066302,0.24012274208122952,0.15757949797906434,4
2,2,55.54609661294674,0.09199787275147997,0.2804476640724018,0.14562145798192658,5
2,2,55.50445810943243,0.1,0.31819649110228376,0.15983203990461345,8
2,2,55.550003372032805,0.06584632425948374,0.3306092259387792,0.46686527285536755,9
2,3,94.1976572282879,0.04980353750795899,0.9904627056026933,0.35354307204328556,4
2,4,97.75586804445366,0.006298943551432439,0.68286443501882,0.4245279119341775,2
2,4,97.75744316059286,0.01150406184074711,0.6949934240867544,0.43954470972675563,4
2,4,97.71118860005416,0.001,0.7033953451354787,0.1830334410375081,5
2,4,97.74301288291521,0.001,0.745205504975433,0.18814433442262984,9
2,6,47.39691218701205,0.09443952849131072,0.1604627194685212,0.14796903842139875,2
2,6,47.412107856984385,0.08165905852087667,0.1988867652609145,0.04445047863668831,4
2,7,12.970302463100573,0.050544440476027686,0.13579439069772795,0.07301604304835692,0
2,7,12.927423342480639,0.03910893259876291,0.1724037239159559,0.1927531502319174,2
2,7,12.881796189776312,0.07561501421213487,0.17362901316277646,0.07793783057917651,3
2,7,12.8841130815793,0.07721280992113776,0.18837091302137496,0.18017958386162203,4
2,7,12.882520328488727,0.0716753857119437,0.1784184570996614,0.07619572611958235,5
2,7,12.885847795764734,0.03323945579654771,0.20220873868034328,0.359892036725569,8
2,7,12.848902042011021,0.019857504838421025,0.21724824064381734,0.39020307956112976,9
2,8,2.1771293694174436,0.0051169165727476765,0.30073800513002946,0.7566351948989498,0
2,8,2.1627744490708505,0.032953437992406534,0.3416306001940918,0.5040455640791315,1
2,8,2.141749760869165,0.03467192679054259,0.34358233680592126,0.37281888785241685,2
2,8,2.0943500332365814,0.05468862860939419,0.29665325522736247,0.15427788915506804,3
2,8,2.134672306084866,0.03697289291454417,0.26805003582467957,0.5403322288099803,4
2,8,2.144585276830342,0.052351654945230856,0.3007560019233087,0.14412991173477532,5
2,8,2.1103026655528314,0.03481851148997205,0.25952418225157453,0.1435819785780677,6
2,8,2.0748347677780763,0.04339405713637687,0.2572132649597055,0.48674602769137026,8
